"id","domena","baza","miasto","lat","lng","region","domenaupper","aktywna"
"212","kedzierzynkozleogloszenia.pl","kedzierzynkozle","Kędzierzyn-Koźle","50.3454","18.176","opolskie","KedzierzynKozleOgloszenia.pl","NIE"
"213","kepnoogloszenia.pl","kepno","Kępno","51.2781","17.9891","wielkopolskie","KepnoOgloszenia.pl","TAK"
"214","kluczborkogloszenia.pl","kluczbork","Kluczbork","50.9724","18.2181","opolskie","KluczborkOgloszenia.pl","TAK"
"215","klobuckogloszenia.pl","klobuck","Kłobuck","50.9066","18.9066","śląskie","KlobuckOgloszenia.pl","TAK"
"216","klodzkoogloszenia.pl","klodzko","Kłodzko","50.4346","16.6614","dolnośląskie","KlodzkoOgloszenia.pl","TAK"
"217","kolbuszowaogloszenia.pl","kolbuszowa","Kolbuszowa","50.2364","21.7558","podkarpackie","KolbuszowaOgloszenia.pl","TAK"
"218","kolnoogloszenia.pl","kolno","Kolno","53.4011","21.901","podlaskie","KolnoOgloszenia.pl","NIE"
"220","koscierzynaogloszenia.pl","koscierzyna","Kościerzyna","54.1213","17.9781","pomorskie","KoscierzynaOgloszenia.pl","TAK"
"221","kozieniceogloszenia.pl","kozienice","Kozienice","51.5855","21.5512","mazowieckie","KozieniceOgloszenia.pl","TAK"
"222","krapkowiceogloszenia.pl","krapkowice","Krapkowice","50.4746","17.9671","opolskie","KrapkowiceOgloszenia.pl","TAK"
"223","krasnystawogloszenia.pl","krasnystaw","Krasnystaw","50.9841","23.1719","lubelskie","KrasnystawOgloszenia.pl","TAK"
"224","krosnoodrzanskieogloszenia.pl","krosnoodrzanskie","Krosno Odrzańskie","52.0409","15.0658","lubuskie","KrosnoOdrzanskieOgloszenia.pl","NIE"
"225","krotoszynogloszenia.pl","krotoszyn","Krotoszyn","51.6957","17.4373","wielkopolskie","KrotoszynOgloszenia.pl","TAK"
"226","kutnoogloszenia.pl","kutno","Kutno","52.2306","19.3643","łódzkie","KutnoOgloszenia.pl","TAK"
"227","leskoogloszenia.pl","lesko","Lesko","49.4704","22.2909","podkarpackie","LeskoOgloszenia.pl","NIE"
"228","lezajskogloszenia.pl","lezajsk","Leżajsk","50.2621","22.4211","podkarpackie","LezajskOgloszenia.pl","TAK"
"229","lidzbarkogloszenia.pl","lidzbarkwarminski","Lidzbark Warmiński","54.1309","20.5323","warmińsko-mazurskie","LidzbarkOgloszenia.pl","TAK"
"230","limanowaogloszenia.pl","limanowa","Limanowa","49.7059","20.4223","małopolskie","LimanowaOgloszenia.pl","NIE"
"231","lipnoogloszenia.pl","lipno","Lipno","52.8424","19.1579","kujawsko-pomorskie","LipnoOgloszenia.pl","TAK"
"232","lipskoogloszenia.pl","lipsko","Lipsko","51.1631","21.6135","mazowieckie","LipskoOgloszenia.pl","NIE"
"233","lubaczowogloszenia.pl","lubaczow","Lubaczów","50.1572","23.0851","podkarpackie","LubaczowOgloszenia.pl","TAK"
"234","lubanogloszenia.pl","luban","Lubań","51.1145","15.2466","dolnośląskie","LubanOgloszenia.pl","TAK"
"235","lubliniecogloszenia.pl","lubliniec","Lubliniec","50.6727","18.6789","śląskie","LubliniecOgloszenia.pl","TAK"
"236","lwowekslaskiogloszenia.pl","lwowekslaski","Lwówek Śląski","51.1109","15.5709","dolnośląskie","LwowekSlaskiOgloszenia.pl","TAK"
"237","lancutogloszenia.pl","lancut","Łańcut","50.0691","22.2321","podkarpackie","LancutOgloszenia.pl","TAK"
"238","laskogloszenia.pl","lask","Łask","51.6019","19.1235","łódzkie","LaskOgloszenia.pl","TAK"
"239","leczycaogloszenia.pl","leczyca","Łęczyca","52.0544","19.1816","łódzkie","LeczycaOgloszenia.pl","TAK"
"240","lobezogloszenia.pl","lobez","Łobez","53.636","15.5809","zachodniopomorskie","LobezOgloszenia.pl","NIE"
"241","losiceogloszenia.pl","losice","Łosice","52.1968","22.6848","mazowieckie","LosiceOgloszenia.pl","TAK"
"242","lowiczogloszenia.pl","lowicz","Łowicz","52.1068","19.9454","łódzkie","LowiczOgloszenia.pl","TAK"
"243","lukowogloszenia.pl","lukow","Łuków","51.9272","22.383","lubelskie","LukowOgloszenia.pl","TAK"
"244","makowmazowieckiogloszenia.pl","makowmazowiecki","Maków Mazowiecki","52.8616","21.058","mazowieckie","MakowMazowieckiOgloszenia.pl","TAK"
"245","rudaslaskaogloszenia.pl","rudaslaska","Ruda Śląska","50.2558","18.8556","śląskie","RudaSlaskaOgloszenia.pl","TAK"
"246","siemianowiceogloszenia.pl","siemianowice","Siemianowice Śląskie","50.3264","19.0296","śląskie","SiemianowiceOgloszenia.pl","NIE"
"247","swietochlowiceogloszenia.pl","swietochlowice","Świętochłowice","50.2964","18.9171","śląskie","SwietochlowiceOgloszenia.pl","TAK"
"248","zoryogloszenia.pl","zory","Żory","50.0447","18.7006","śląskie","ZoryOgloszenia.pl","TAK"
"249","miechowogloszenia.pl","miechow","Miechów","50.3588","19.9924","małopolskie","MiechowOgloszenia.pl","TAK"
"250","miedzychodogloszenia.pl","miedzychod","Międzychód","52.6008","15.8706","wielkopolskie","MiedzychodOgloszenia.pl","NIE"
"251","miedzyrzeczogloszenia.pl","miedzyrzecz","Międzyrzecz","52.4485","15.5571","lubuskie","MiedzyrzeczOgloszenia.pl","TAK"
"252","mikolowogloszenia.pl","mikolow","Mikołów","50.196","18.7921","śląskie","MikolowOgloszenia.pl","TAK"
"253","miliczogloszenia.pl","milicz","Milicz","51.5199","17.2368","dolnośląskie","MiliczOgloszenia.pl","TAK"
"254","mogilnoogloszenia.pl","mogilno","Mogilno","52.6589","17.9384","kujawsko-pomorskie","MogilnoOgloszenia.pl","NIE"
"255","monkiogloszenia.pl","monki","Mońki","53.4044","22.7878","podlaskie","MonkiOgloszenia.pl","NIE"
"256","mysleniceogloszenia.pl","myslenice","Myślenice","49.8277","19.9051","małopolskie","MysleniceOgloszenia.pl","TAK"
"257","mysliborzogloszenia.pl","mysliborz","Myślibórz","52.9438","14.8324","zachodniopomorskie","MysliborzOgloszenia.pl","NIE"
"258","nakloogloszenia.pl","naklonadnotecia","Nakło nad Notecią","53.1387","17.5999","kujawsko-pomorskie","NakloOgloszenia.pl","TAK"
"259","namyslowogloszenia.pl","namyslow","Namysłów","51.0769","17.6602","opolskie","NamyslowOgloszenia.pl","NIE"
"260","nidzicaogloszenia.pl","nidzica","Nidzica","53.3631","20.4064","warmińsko-mazurskie","NidzicaOgloszenia.pl","TAK"
"261","niskoogloszenia.pl","nisko","Nisko","50.5028","22.059","podkarpackie","NiskoOgloszenia.pl","TAK"
"262","nowasologloszenia.pl","nowasol","Nowa Sól","51.8035","15.6773","lubuskie","NowaSolOgloszenia.pl","TAK"
"263","nowemiastolubawskieogloszenia.pl","nowemiastolubawskie","Nowe Miasto Lubawskie","53.4251","19.5495","warmińsko-mazurskie","NoweMiastoLubawskieOgloszenia.pl","NIE"
"264","nowydworgdanskiogloszenia.pl","nowydworgdanski","Nowy Dwór Gdański","54.212","19.1027","pomorskie","NowyDworGdanskiOgloszenia.pl","NIE"
"265","nowydwormazowieckiogloszenia.pl","nowydwormazowiecki","Nowy Dwór Mazowiecki","52.4343","20.6568","mazowieckie","NowyDworMazowieckiOgloszenia.pl","TAK"
"266","nowytargogloszenia.pl","nowytarg","Nowy Targ","49.4894","19.9737","małopolskie","NowyTargOgloszenia.pl","TAK"
"267","nowytomyslogloszenia.pl","nowytomysl","Nowy Tomyśl","52.3178","16.1292","wielkopolskie","NowyTomyslOgloszenia.pl","NIE"
"268","ogloszeniaolecko.pl","olecko","Olecko","54.0361","22.4631","warmińsko-mazurskie","OgloszeniaOlecko.pl","TAK"
"269","ogloszeniaolesno.pl","olesno","Olesno","50.8761","18.3781","opolskie","OgloszeniaOlesno.pl","NIE"
"270","opatowogloszenia.pl","opatow","Opatów","50.8062","21.406","świętokrzyskie","OpatowOgloszenia.pl","TAK"
"271","opocznoogloszenia.pl","opoczno","Opoczno","51.3753","20.2788","łódzkie","OpocznoOgloszenia.pl","TAK"
"272","opolelubelskieogloszenia.pl","opolelubelskie","Opole Lubelskie","51.1486","21.9346","lubelskie","OpoleLubelskieOgloszenia.pl","NIE"
"273","ostrowiecswietokrzyskiogloszenia.pl","ostrowiecswietokrzyski","Ostrowiec Świętokrzyski","50.9399","21.3874","świętokrzyskie","OstrowiecSwietokrzyskiOgloszenia.pl","NIE"
"274","ostrzeszowogloszenia.pl","ostrzeszow","Ostrzeszów","51.4244","17.9004","wielkopolskie","OstrzeszowOgloszenia.pl","TAK"
"275","oswiecimogloszenia.pl","oswiecim","Oświęcim","50.0352","19.2232","małopolskie","OswiecimOgloszenia.pl","TAK"
"276","pajecznoogloszenia.pl","pajeczno","Pajęczno","51.1358","18.963","łódzkie","PajecznoOgloszenia.pl","TAK"
"277","parczewogloszenia.pl","parczew","Parczew","51.6347","22.8755","lubelskie","ParczewOgloszenia.pl","NIE"
"278","pinczowogloszenia.pl","pinczow","Pińczów","50.5151","20.5056","świętokrzyskie","PinczowOgloszenia.pl","NIE"
"279","piszogloszenia.pl","pisz","Pisz","53.6272","21.7923","warmińsko-mazurskie","PiszOgloszenia.pl","TAK"
"280","pleszewogloszenia.pl","pleszew","Pleszew","51.8941","17.7694","wielkopolskie","PleszewOgloszenia.pl","TAK"
"281","poddebiceogloszenia.pl","poddebice","Poddębice","51.8949","18.9471","łódzkie","PoddebiceOgloszenia.pl","TAK"
"282","policeogloszenia.pl","police","Police","53.5671","14.5421","zachodniopomorskie","PoliceOgloszenia.pl","TAK"
"283","proszowiceogloszenia.pl","proszowice","Proszowice","50.1888","20.2755","małopolskie","ProszowiceOgloszenia.pl","TAK"
"284","prudnikogloszenia.pl","prudnik","Prudnik","50.3215","17.5809","opolskie","PrudnikOgloszenia.pl","TAK"
"285","pruszczgdanskiogloszenia.pl","pruszczgdanski","Pruszcz Gdański","54.2584","18.6491","mazowieckie","PruszczGdanskiOgloszenia.pl","TAK"
"286","ogloszeniaprzasnysz.pl","przasnysz","Przasnysz","53.0214","20.8817","mazowieckie","OgloszeniaPrzasnysz.pl","TAK"
"287","przeworskogloszenia.pl","przeworsk","Przeworsk","50.0547","22.4663","podkarpackie","PrzeworksOgloszenia.pl","NIE"
"288","przysuchaogloszenia.pl","przysucha","Przysucha","51.3518","20.5929","mazowieckie","PrzysuchaOgloszenia.pl","NIE"
"289","pszczynaogloszenia.pl","pszczyna","Pszczyna","49.9858","18.9477","śląskie","PszczynaOgloszenia.pl","TAK"
"290","puckogloszenia.pl","puck","Puck","54.7141","18.3876","pomorskie","PuckOgloszenia.pl","NIE"
"291","pultuskogloszenia.pl","pultusk","Pułtusk","52.6975","21.0852","mazowieckie","PultuskOgloszenia.pl","TAK"
"292","pyrzyceogloszenia.pl","pyrzyce","Pyrzyce","53.1424","14.8225","zachodniopomorskie","PyrzyceOgloszenia.pl","TAK"
"293","radziejowogloszenia.pl","radziejow","Radziejów","52.6192","18.5146","kujawsko-pomorskie","RadziejowOgloszenia.pl","NIE"
"294","radzynpodlaskiogloszenia.pl","radzynpodlaski","Radzyń Podlaski","51.7769","22.5915","lubelskie","RadzynPodlaskiOgloszenia.pl","TAK"
"295","rawamazowieckaogloszenia.pl","rawamazowiecka","Rawa Mazowiecka","51.7656","20.2539","łódzkie","RawaMazowieckaOgloszenia.pl","NIE"
"296","rawiczogloszenia.pl","rawicz","Rawicz","51.6091","16.8577","wielkopolskie","RawiczOgloszenia.pl","TAK"
"297","ropczyceogloszenia.pl","ropczyce","Ropczyce","50.0491","21.5419","podkarpackie","RopczyceOgloszenia.pl","TAK"
"298","rykiogloszenia.pl","ryki","Ryki","51.6255","21.8909","lubelskie","RykiOgloszenia.pl","NIE"
"299","rypinogloszenia.pl","rypin","Rypin","53.0629","19.3855","kujawsko-pomorskie","RypinOgloszenia.pl","TAK"
"300","sejnyogloszenia.pl","sejny","Sejny","54.1108","23.3305","podlaskie","SejnyOgloszenia.pl","NIE"
"301","sepolnokrajenskieogloszenia.pl","sepolnokrajenskie","Sępolno Krajeńskie","53.4528","17.5117","kujawsko-pomorskie","SepolnoKrajenskieOgloszenia.pl","NIE"
"302","siemiatyczeogloszenia.pl","siemiatycze","Siemiatycze","52.42","22.8051","podlaskie","SiemiatyczeOgloszenia.pl","TAK"
"303","sierpcogloszenia.pl","sierpc","Sierpc","52.8534","19.6303","mazowieckie","SierpcOgloszenia.pl","TAK"
"304","ogloszeniaslawno.pl","slawno","Sławno","54.3618","16.6275","zachodniopomorskie","OgloszeniaSlawno.pl","NIE"
"305","slubiceogloszenia.pl","slubice","Słubice","52.359","14.5541","lubuskie","SlubiceOgloszenia.pl","TAK"
"306","slupcaogloszenia.pl","slupca","Słupca","52.2937","17.8323","wielkopolskie","SlupcaOgloszenia.pl","TAK"
"307","sokolowpodlaskiogloszenia.pl","sokolowpodlaski","Sokołów Podlaski","52.4087","22.2523","mazowieckie","SokolowPodlaskiOgloszenia.pl","TAK"
"308","sokolkaogloszenia.pl","sokolka","Sokółka","53.4056","23.4901","podlaskie","SokolkaOgloszenia.pl","TAK"
"309","stargardogloszenia.pl","stargard","Stargard","53.3365","15.0504","zachodniopomorskie","StargardOgloszenia.pl","TAK"
"310","starogardgdanskiogloszenia.pl","starogardgdanski","Starogard Gdański","53.9655","18.4917","pomorskie","StarogardGdanskiOgloszenia.pl","TAK"
"311","staszowogloszenia.pl","staszow","Staszów","50.561","21.1554","świętokrzyskie","StaszowOgloszenia.pl","NIE"
"312","strzelcekrajenskieogloszenia.pl","strzelcekrajenskie","Strzelce Krajeńskie","52.8761","15.5145","lubuskie","StrzelceKrajenskieOgloszenia.pl","NIE"
"313","strzelceopolskieogloszenia.pl","strzelceopolskie","Strzelce Opolskie","50.5125","18.3009","opolskie","StrzelceOpolskieOgloszenia.pl","TAK"
"314","strzelinogloszenia.pl","strzelin","Strzelin","50.7777","17.0591","dolnośląskie","StrzelinOgloszenia.pl","TAK"
"315","strzyzowogloszenia.pl","strzyzow","Strzyżów","49.8714","21.7536","podkarpackie","StrzyzowOgloszenia.pl","TAK"
"316","suchabeskidzkaogloszenia.pl","suchabeskidzka","Sucha Beskidzka","49.7327","19.5431","małopolskie","SuchaBeskidzkaOgloszenia.pl","TAK"
"317","sulecinogloszenia.pl","sulecin","Sulęcin","52.4475","15.0852","lubuskie","SulecinOgloszenia.pl","NIE"
"318","szamotulyogloszenia.pl","szamotuly","Szamotuły","52.6117","16.5779","wielkopolskie","SzamotulyOgloszenia.pl","TAK"
"319","sztumogloszenia.pl","sztum","Sztum","53.9221","19.0184","pomorskie","SztumOgloszenia.pl","NIE"
"320","szydlowiecogloszenia.pl","szydlowiec","Szydłowiec","51.222","20.8049","mazowieckie","SzydlowiecOgloszenia.pl","TAK"
"321","srodaslaskaogloszenia.pl","srodaslaska","Środa Śląska","51.1703","16.5618","dolnośląskie","SrodaSlaskaOgloszenia.pl","NIE"
"322","swidwinogloszenia.pl","swidwin","Świdwin","53.7747","15.7622","zachodniopomorskie","SwidwinOgloszenia.pl","TAK"
"323","tarnowskiegoryogloszenia.pl","tarnowskiegory","Tarnowskie Góry","50.4659","18.772","śląskie","TarnowskieGoryOgloszenia.pl","TAK"
"324","tomaszowlubelskiogloszenia.pl","tomaszowlubelski","Tomaszów Lubelski","50.4511","23.417","lubelskie","TomaszowLubelskiOgloszenia.pl","TAK"
"325","trzebnicaogloszenia.pl","trzebnica","Trzebnica","51.3082","17.0416","dolnośląskie","TrzebnicaOgloszenia.pl","TAK"
"326","tucholaogloszenia.pl","tuchola","Tuchola","53.5779","17.8452","kujawsko-pomorskie","TucholaOgloszenia.pl","TAK"
"327","ustrzykidolneogloszenia.pl","ustrzykidolne","Ustrzyki Dolne","49.4303","22.5432","podkarpackie","UstrzykiDolneOgloszenia.pl","TAK"
"328","wadowiceogloszenia.pl","wadowice","Wadowice","49.8828","19.494","małopolskie","WadowiceOgloszenia.pl","NIE"
"329","ogloszeniawabrzezno.pl","wabrzezno","Wąbrzeźno","53.2782","18.9347","kujawsko-pomorskie","OgloszeniaWabrzezno.pl","TAK"
"330","wejherowoogloszenia.pl","wejherowo","Wejherowo","54.6003","18.233","pomorskie","WejherowoOgloszenia.pl","TAK"
"331","ogloszeniawegorzewo.pl","wegorzewo","Węgorzewo","54.2081","21.7139","warmińsko-mazurskie","OgloszeniaWegorzewo.pl","NIE"
"332","wegrowogloszenia.pl","wegrow","Węgrów","52.4012","21.9598","mazowieckie","WegrowoOgloszenia.pl","NIE"
"333","wieliczkaogloszenia.pl","wieliczka","Wieliczka","49.9835","20.0605","małopolskie","WieliczkaOgloszenia.pl","TAK"
"334","wielunogloszenia.pl","wielun","Wieluń","51.2186","18.5689","łódzkie","WielunOgloszenia.pl","TAK"
"335","wieruszowogloszenia.pl","wieruszow","Wieruszów","51.2964","18.1361","łódzkie","WieruszowOgloszenia.pl","NIE"
"336","wlodawaogloszenia.pl","wlodawa","Włodawa","51.5422","23.4986","lubelskie","WlodawaOgloszenia.pl","TAK"
"337","wloszczowaogloszenia.pl","wloszczowa","Włoszczowa","50.8575","19.9516","świętokrzyskie","WloszczowaOgloszenia.pl","TAK"
"338","wodzislawslaskiogloszenia.pl","wodzislawslaski","Wodzisław Śląski","50.0025","18.4038","śląskie","WodzislawSlaskiOgloszenia.pl","TAK"
"339","wolsztynogloszenia.pl","wolsztyn","Wolsztyn","52.115","16.117","wielkopolskie","WolsztynOgloszenia.pl","TAK"
"340","wolowogloszenia.pl","wolow","Wołów","51.3381","16.6","dolnośląskie","WolowOgloszenia.pl","NIE"
"341","wschowaogloszenia.pl","wschowa","Wschowa","51.8074","16.2864","lubuskie","WschowaOgloszenia.pl","TAK"
"342","wysokiemazowieckieogloszenia.pl","wysokiemazowieckie","Wysokie Mazowieckie","52.9245","22.4786","podlaskie","WysokieMazowieckieOgloszenia.pl","NIE"
"343","zabkowiceogloszenia.pl","zabkowiceslaskie","Ząbkowice Śląskie","50.5874","16.7884","dolnośląskie","ZabkowiceOgloszenia.pl","TAK"
"344","zdunskawolaogloszenia.pl","zdunskawola","Zduńska Wola","51.5955","18.9302","łódzkie","ZdunskaWolaOgloszenia.pl","TAK"
"345","zlotoryjaogloszenia.pl","zlotoryja","Złotoryja","51.1228","15.9032","dolnośląskie","ZlotoryjaOgloszenia.pl","TAK"
"346","zlotowogloszenia.pl","zlotow","Złotów","53.3592","17.0276","wielkopolskie","ZlotowOgloszenia.pl","NIE"
"347","zwolenogloszenia.pl","zwolen","Zwoleń","51.3567","21.5683","mazowieckie","ZwolenOgloszenia.pl","NIE"
"348","zaganogloszenia.pl","zagan","Żagań","51.6157","15.2802","lubuskie","ZaganOgloszenia.pl","TAK"
"349","zninogloszenia.pl","znin","Żnin","52.8462","17.7125","kujawsko-pomorskie","ZninOgloszenia.pl","NIE"
"350","zurominogloszenia.pl","zuromin","Żuromin","53.0661","19.9089","mazowieckie","ZurominOgloszenia.pl","TAK"
"351","zyrardowogloszenia.pl","zyrardow","Żyrardów","52.0487","20.446","mazowieckie","ZyrardowOgloszenia.pl","NIE"
"352","lubin365.pl","lubin","Lubin","51.3997","16.1243","dolnośląskie","Lubin365.pl","TAK"
"353","nowogardogloszenia.pl","nowogard","Nowogard","53.672","15.0837","zachodniopomorskie","NowogardOgloszenia.pl","TAK"
"354","czaplinekogloszenia.pl","czaplinek","Czaplinek","53.5622","16.2341","zachodniopomorskie","CzaplinekOgloszenia.pl","NIE"
"355","ogloszeniamiastko.pl","miastko","Miastko","54.0035","16.9834","pomorskie","OgloszeniaMiastko.pl","NIE"
"356","moragogloszenia.pl","morag","Morąg","53.9187","19.9226","warmińsko-mazurskie","MoragOgloszenia.pl","TAK"
"357","mikolajkiogloszenia.pl","mikolajki","Mikołajki","53.8026","21.5713","warmińsko-mazurskie","MikolajkiOgloszenia.pl","NIE"
"358","ogloszeniadrezdenko.pl","drezdenko","Drezdenko","52.8399","15.8305","lubuskie","OgloszeniaDrezdenko.pl","NIE"
"359","trzciankaogloszenia.pl","trzcianka","Trzcianka","53.0409","16.4594","wielkopolskie","TrzciankaOgloszenia.pl","TAK"
"360","krynicazdrojogloszenia.pl","krynicazdroj","Krynica-Zdrój","49.4216","20.9602","małopolskie","KrynicaZdrojOgloszenia.pl","NIE"
"361","checinyogloszenia.pl","checiny","Chęciny","50.8001","20.4622","świętokrzyskie","ChecinyOgloszenia.pl","NIE"
"362","warkaogloszenia.pl","warka","Warka","51.7827","21.1891","Mazowieckie","WarkaOgloszenia.pl","NIE"
"363","ogloszeniadobremiasto.pl","dobremiasto","Dobre Miasto","53.9868","20.3971","warmińsko-mazurskie","OgloszeniaDobreMiasto.pl","NIE"
"364","polczynzdrojogloszenia.pl","polczynzdroj","Połczyn-Zdrój","53.7649","16.0931","zachodniopomorskie","PolczynZdrojOgloszenia.pl","NIE"
"365","barlinekogloszenia.pl","barlinek","Barlinek","52.993","15.217","zachodniopomorskie","BarlinekOgloszenia.pl","NIE"
"366","wronkiogloszenia.pl","wronki","Wronki","52.7098","16.3747","wielkopolskie","WronkiOgloszenia.pl","NIE"
"367","kostrzynogloszenia.pl","kostrzynnadodra","Kostrzyn Nad Odrą","52.592","14.6473","lubuskie","KostrzynOgloszenia.pl","NIE"
"368","lubonogloszenia.pl","lubon","Luboń","52.3472","16.8909","wielkopolskie","LubonOgloszenia.pl","TAK"
"369","karpaczogloszenia.pl","karpacz","Karpacz","50.776","15.7585","dolnośląskie","KarpaczOgloszenia.pl","NIE"
"370","radzyminogloszenia.pl","radzymin","Radzymin","52.4188","21.1825","Mazowieckie","RadzyminOgloszenia.pl","TAK"
"371","markiogloszenia.pl","marki","Marki","52.327","21.1056","Mazowieckie","MarkiOgloszenia.pl","TAK"
"372","tarczynogloszenia.pl","tarczyn","Tarczyn","51.9823","20.8337","Mazowieckie","TarczynOgloszenia.pl","NIE"
"373","strykowogloszenia.pl","strykow","Stryków","51.9002","19.6019","Łódzkie","StrykowOgloszenia.pl","NIE"
"374","czerskogloszenia.pl","czersk","Czersk","53.7938","17.9746","pomorskie","CzerskOgloszenia.pl","NIE"
"381","poznanogloszenia.com","poznan","Poznań","52.4063","16.9253","wielkopolskie","PoznanOgloszenia.com","NIE"
